ASSET,BKPREM,CHBAL,DEP,DEPDOM,EINTEXP,ELNATR,EQ,FREPO,INTAN,INTINC,LIAB,LNAG,LNATRES,LNAUTO,LNCI,LNCON,LNDEP,LNLSGR,LNLSNET,LNMUNI,LNRE,LNREAG,LNRECONS,LNREMULT,LNRENRES,LNRERES,NETINC,NIMY,NONII,NONIX,NUMEMP,ORE,ROA,ROE,SC,SCMUNI,SCUS,TRADE
116311,542,9129,96713,96713,282,0,19432,0,0,1561,96879,2285,700,1491,43769,1914,0,78840,78140,592,30254,3005,0,84,7976,19189,822,4.489806664501918,62,519,15,0,2.8257133035407356,16.97,27850,3289,24561,0
296147,7551,34190,252640,252640,1224,115,30027,0,3640,4569,266120,417,1932,3854,55263,8588,0,189627,187695,2797,122532,949,25727,2629,67085,26142,1141,5.174454129895041,263,2352,50,0,1.5836609494331924,15.03,55032,15630,37402,0
166764,1538,14015,156451,156451,318,25,3738,0,638,1564,163026,1337,789,2011,4422,3333,0,75347,74558,6348,59861,6643,1307,147,8004,43760,355,3.1287371113796514,301,1167,32,0,0.8557645080710043,36.63,74101,13230,60875,0
515054,6376,46317,450510,450510,4613,0,58930,0,1214,9247,456124,1404,3884,494,156223,1291,0,451015,447131,0,292096,2347,35747,8195,214808,30999,1169,3.6359463591987815,79,3223,50,0,0.8916287765751044,8.01,7424,0,7424,0
889369,4649,78109,761635,761635,1488,11,89875,0,0,7055,799494,2640,1723,462,23078,5860,0,319288,317565,0,288587,26068,74672,8943,148104,30800,2370,2.6198525479971977,659,3226,84,0,1.0852809910401353,10.61,477610,0,477610,0
568336,11904,36343,514027,514027,2255,399,36942,11263,39,6921,531394,459,3675,26134,70597,49914,0,438763,435088,783,313689,75,19697,16256,62364,215297,391,3.5630424075353844,1148,4950,124,718,0.2797332875457875,4.24,58577,23976,33266,0
340590,7189,6156,287717,287717,1301,284,34559,3733,1550,4267,306031,409,3156,3713,21123,10653,0,261347,258191,1791,227335,8251,23227,10156,93010,92691,642,3.7984187129110696,434,2410,78,0,0.7574930754867808,7.49,49006,15681,20327,0
3955727,47010,75638,3137892,3137892,16762,104,487592,0,127213,45738,3468135,13387,28355,1437,200453,7629,0,3014809,2986454,39261,2661075,31095,179894,186379,1261403,1002304,11572,3.2557970992101803,8417,22687,463,0,1.1683674016710976,9.53,527596,108106,263694,0
189254,1462,16061,175058,175058,507,37,13769,0,0,2320,175485,85,1163,2882,9759,6651,0,105926,104763,36,89394,2464,15919,1416,30663,38932,526,4.110854765292414,252,1502,41,0,1.110375200213209,15.14,61191,25437,35754,0
15332,42,5806,12135,12135,43,0,3161,745,0,182,12171,94,105,110,894,247,0,5622,5517,0,4387,3933,0,0,112,342,38,4.036444154052779,16,117,3,0,1.018732616199189,4.83,2714,0,2714,0
215136,2745,16557,175341,175341,858,0,23122,0,0,2083,192014,5709,2815,1911,26263,5625,0,134812,131997,474,96741,24590,3803,6610,25493,36245,155,2.3704592401952485,94,1135,26,0,0.2867138202998009,2.67,57807,11225,46582,0
32259,430,10812,29140,29140,85,3,2948,1752,0,368,29311,412,183,1968,1656,2950,0,15680,15497,0,10617,1888,720,0,2136,5873,50,3.8117044918849756,58,280,8,0,0.6340048501371036,6.88,3465,1532,1933,0
67300,485,7344,58053,58053,312,0,1342,0,0,734,65958,6494,495,308,2193,589,0,36702,36207,0,27423,7864,652,652,8316,9939,34,2.695516787097289,25,393,11,0,0.2058656575212867,9.34,21959,9282,12677,0
475064,986,5910,386107,386107,2044,32,32509,8853,0,4898,442555,7864,2554,2569,16267,4632,0,264314,261760,2252,233148,120587,11188,674,23349,77350,1712,2.4570801940955604,254,1341,46,0,1.440592393133625,20.48,191501,66164,125337,0
