BKPREM,CHBAL,DEP,DEPDOM,EINTEXP,ELNATR,EQ,FREPO,INTAN,INTINC,LIAB,LNAG,LNATRES,LNAUTO,LNCI,LNCON,LNDEP,LNLSGR,LNLSNET,LNMUNI,LNRE,LNREAG,LNRECONS,LNREMULT,LNRENRES,LNRERES,NETINC,NONII,NONIX,NUMEMP,ORE,SC,SCMUNI,SCUS,TRADE,ROA,ROE,NIMY
0.0155959921,0.0607049252,0.8530393415,0.8530393415,0.0056104619,0.0000716665,0.0630494430,0.0003617451,0.0000000000,0.0112550508,0.9369505570,0.0498662226,0.0069414109,0.0176606694,0.0911188162,0.0243973190,0.0000000000,0.7312063176,0.7242649066,0.0079788686,0.5578450912,0.0575857268,0.0402083106,0.0161283717,0.1069673474,0.3369553347,0.0021261057,0.0003924593,0.0037641968,0.0000887299,0.0000000000,0.1883634105,0.0026550726,0.1852100852,0.0000000000,0.8560411531822437,13.75,2.357183066475698
0.0046918888,0.0255857015,0.7368854646,0.7368854646,0.0037660646,0.0000000000,0.1943603182,0.0000000000,0.0000000000,0.0133930673,0.8056396818,0.0200542941,0.0028402404,0.0063395421,0.1938895602,0.0119729471,0.0000000000,0.5708804745,0.5680402341,0.0000000000,0.3371177052,0.0154094811,0.0667378034,0.0007061371,0.1633138230,0.0909504606,0.0047154267,0.0006433694,0.0053195663,0.0001255355,0.0255935475,0.3626798688,0.2560296264,0.0000000000,0.0000000000,1.9166756361345978,9.8,4.184589150591496
0.0021987988,0.0080594103,0.7308995397,0.7308995397,0.0037901473,0.0000000000,0.2615714995,0.0286613850,0.0212265362,0.0090775312,0.7384285005,0.1098714943,0.0023784672,0.0019934635,0.0341626598,0.0036703684,0.0000000000,0.2985746308,0.2961961637,0.0080936329,0.1427679198,0.0880546192,0.0000000000,0.0000000000,0.0251963519,0.0295169487,0.0033623655,0.0002224466,0.0019763522,0.0000684451,0.0000000000,0.6271196591,0.6185725775,0.0085470817,0.0000000000,1.37898365746467,5.18,2.2863485016648166
0.0067084665,0.0177514793,0.7690090017,0.7690090017,0.0070083566,0.0006930234,0.0966200619,0.0167207645,0.0000000000,0.0146794956,0.9033799381,0.2738551253,0.0093091943,0.0172802234,0.1401318509,0.0309164037,0.0000000000,0.9059302642,0.8966210699,0.0018774634,0.4588117295,0.2852232291,0.0000000000,0.0007484653,0.0526395371,0.1202004980,0.0039766943,0.0001864863,0.0030316623,0.0000756026,0.0000000000,0.0389579952,0.0013205246,0.0376374706,0.0000000000,1.619792675775862,16.72,3.274870159036689
0.0138657069,0.0124958671,0.8946791856,0.8946791856,0.0039681038,0.0001946955,0.0759745731,0.0000000000,0.0035284206,0.0106614469,0.9240254269,0.0126761223,0.0066674501,0.0252606231,0.0761100134,0.0488377026,0.0000000000,0.6801277123,0.6734602622,0.0008808603,0.5205570582,0.0340015058,0.0239938574,0.0381234738,0.2048943764,0.2195438448,0.0018672844,0.0018578235,0.0061525775,0.0001807531,0.0002639095,0.2577275697,0.0450483602,0.1415645553,0.0000000000,0.7466302709297264,9.69,2.8715725902820597
0.0208388741,0.1047605975,0.8300031743,0.8300031743,0.0033373084,0.0003260096,0.1047520183,0.0032515164,0.0000000000,0.0145846381,0.8952479817,0.0003860639,0.0128602191,0.0000772128,0.1458635393,0.0021190621,0.0000000000,0.7779531747,0.7650929556,0.0000000000,0.6295845094,0.0000000000,0.0199037414,0.0626281518,0.4512058064,0.0958468098,-0.0005233311,0.0043753914,0.0159315723,0.0003946431,0.0000000000,0.0779763386,0.0171069226,0.0608694160,0.0000000000,-0.20768166826258114,-1.99,4.932743862289531
0.0106692801,0.0562433596,0.8238184023,0.8238184023,0.0043270753,0.0000000000,0.0851964629,0.0000000000,0.0244753712,0.0106464192,0.9148035371,0.0038792272,0.0060101600,0.0072588881,0.0819674589,0.0128957788,0.0015016968,0.5339043554,0.5278941954,0.0014514778,0.4190142468,0.0110571653,0.0437939299,0.0222305088,0.2289118788,0.1130207640,0.0022324950,0.0014893294,0.0050724896,0.0001375400,0.0000457217,0.3402881594,0.1598900430,0.0651249946,0.0000000000,0.9089891234499776,10.73,2.840070648062705
0.0030584180,0.0169037485,0.8691756272,0.8691756272,0.0048692005,0.0000000000,0.0629449174,0.0220654122,0.0005444793,0.0080738501,0.9370550826,0.0192185633,0.0021436928,0.0029246316,0.0146822730,0.0081049632,0.0000000000,0.4386325169,0.4364888242,0.0237984120,0.3727411888,0.1301087714,0.0167824074,0.0086649990,0.0356089456,0.1815760653,0.0000684488,0.0002644614,0.0035904520,0.0001244524,0.0000000000,0.5086681103,0.0939429012,0.4135024642,0.0000000000,0.02724622693939727,0.44,1.3130051245442727
0.0113251534,0.1175092025,0.9097668712,0.9097668712,0.0054895706,0.0000000000,0.0847852761,0.0613496933,0.0000000000,0.0147460123,0.9152147239,0.1021276074,0.0146306748,0.0145447853,0.1314723926,0.0217153374,0.0000000000,0.7631165644,0.7484858896,0.0024539877,0.5053128834,0.0928122699,0.0762380368,0.0129251534,0.1448417178,0.1784957055,0.0058797546,0.0012147239,0.0045914110,0.0001177914,0.0001619632,0.0321570552,0.0037202454,0.0266503067,0.0000000000,2.401309896508655,27.09,3.9943981002252937
0.0086827860,0.1579328367,0.8705974536,0.8705974536,0.0051428503,0.0000000000,0.0510625773,0.0000000000,0.0000000000,0.0136904028,0.9489374227,0.0003858132,0.0081776491,0.0175763771,0.1505506788,0.0492727222,0.0000000000,0.5626469173,0.5544692682,0.0002306924,0.3416554966,0.0416678268,0.0658945099,0.0092794043,0.0789167001,0.1458970555,0.0031660548,0.0018057649,0.0071872626,0.0001829630,0.0000000000,0.2534156402,0.1380177156,0.1078884880,0.0000000000,1.2810840932729002,24.3,3.6539618238353424
