timestamp,demo_api_http_requests_in_progress,demo_disk_usage_bytes,methodGET_status200,methodGET_status404,node_load1,node_load15,node_load5,node_memory_Buffers_bytes,node_memory_Cached_bytes,node_memory_MemAvailable_bytes,request_rate_total
1785191500,2,1.27203e+11,186.238,4.61754,1.14,0.4,0.63,8.86743e+07,6.53172e+09,7.17534e+09,221.035
1785191800,2,1.27354e+11,197.698,5.12281,0.26,0.36,0.43,8.86743e+07,6.53283e+09,7.16831e+09,237.161
1785192100,3,1.27506e+11,194.951,4.97193,0.26,0.34,0.34,8.86743e+07,6.53381e+09,7.16563e+09,231.947
1785192400,2,1.27657e+11,177.688,4.21052,0.18,0.3,0.25,8.86743e+07,6.5348e+09,7.16656e+09,211.214
1785192700,0,1.27804e+11,148.049,3.2421,0.16,0.29,0.27,8.86743e+07,6.53579e+09,7.17357e+09,174.347
1785193000,2,1.27958e+11,129.211,2.55088,0.39,0.28,0.27,8.86743e+07,6.53674e+09,7.17729e+09,150.614
1785193300,0,1.28113e+11,117.4,2.22456,0.17,0.26,0.23,8.6741e+07,6.39884e+09,7.19559e+09,136.625
1785193600,1,1.28261e+11,110.891,2.1193,0.14,0.24,0.19,8.6741e+07,6.39976e+09,7.2076e+09,129.298
1785193900,1,1.28411e+11,114.291,2.14736,0.28,0.31,0.38,8.6741e+07,6.40055e+09,7.19297e+09,132.666
1785194200,1,1.28564e+11,121.242,2.33334,0.41,0.3,0.35,8.6741e+07,6.40134e+09,7.19505e+09,141.509
1785194500,0,1.28718e+11,136.768,2.81052,0.77,0.36,0.5,8.67492e+07,6.40551e+09,7.1953e+09,159.961
1785194800,1,1.28862e+11,163.379,3.67018,0.18,0.33,0.33,8.67492e+07,6.40642e+09,7.19126e+09,192.442
1785195100,1,1.29011e+11,185.73,4.61404,0.25,0.3,0.28,8.67492e+07,6.4072e+09,7.20609e+09,221.498
1785195400,2,1.29161e+11,199.453,5.12281,0.15,0.28,0.26,8.67492e+07,6.40799e+09,7.20214e+09,237.796
1785195700,3,1.29311e+11,192.527,4.97194,0.07,0.25,0.21,8.67492e+07,6.40892e+09,7.19678e+09,230.337
1785196000,0,1.29464e+11,177.035,4.21053,0.29,0.3,0.34,8.67492e+07,6.4097e+09,7.19061e+09,210.154
1785196300,1,1.29613e+11,151.341,3.2386,0.23,0.35,0.41,8.67492e+07,6.41049e+09,7.20599e+09,177.46
1785196600,0,1.29757e+11,126.537,2.54737,0.12,0.38,0.4,8.67492e+07,6.4114e+09,7.19083e+09,148.537
1785196900,0,1.29909e+11,117.291,2.22456,0.22,0.33,0.29,8.68884e+07,6.41725e+09,7.20298e+09,136.154
1785197200,1,1.30057e+11,113.084,2.1193,0.2,0.27,0.19,8.68884e+07,6.41803e+09,7.20765e+09,131.295
1785197500,1,1.30203e+11,112.428,2.14737,0.2,0.25,0.19,8.68925e+07,6.41973e+09,7.20209e+09,131.305
1785197800,1,1.30353e+11,121.639,2.33333,0.82,0.36,0.51,8.68925e+07,6.42052e+09,7.20506e+09,141.411
1785198100,1,1.30505e+11,137.818,2.81053,0.85,0.35,0.44,8.68925e+07,6.4213e+09,7.19836e+09,160.846
1785198400,1,1.30656e+11,163.323,3.67017,0.08,0.3,0.27,8.68925e+07,6.42222e+09,7.19447e+09,193.175
1785198700,2,1.30809e+11,185.653,4.61404,0.5,0.37,0.44,8.68925e+07,6.423e+09,7.20434e+09,220.463
1785199000,1,1.30959e+11,198.046,5.12281,0.26,0.36,0.38,8.68925e+07,6.42376e+09,7.20444e+09,236.958
1785199300,1,1.3111e+11,195.807,4.97192,0.49,0.38,0.43,8.68925e+07,6.42454e+09,7.19168e+09,233.526
1785199600,2,1.31261e+11,173.365,4.21053,0.3,0.34,0.32,8.68925e+07,6.42533e+09,7.19732e+09,206.26
